run 0						
time	12V rail	5V rail	3,3V rail	POWER 12V	POWER 5V	POWER 3,3V
0.100	11.270	0.714	11.270	-0.358	75.367	1189.204
0.200	11.271	0.715	9.863	-0.104	75.435	1040.754
0.300	11.272	0.716	8.541	0.005	71.386	901.214
0.402	11.268	0.712	7.427	0.404	51.152	783.674
0.500	11.271	0.715	6.496	0.041	35.022	685.480
0.600	11.272	0.716	5.713	0.041	21.589	602.858
0.700	11.271	0.715	5.052	-0.140	10.529	533.055
0.801	11.271	0.715	4.497	0.150	1.879	417.809
0.901	11.272	0.716	4.030	-0.213	1.361	323.788
1.002	11.272	0.717	3.636	0.259	0.905	253.499
1.101	11.271	0.715	3.304	-0.104	0.539	200.473
1.201	11.271	0.715	3.025	-0.322	0.247	160.412
1.300	11.271	0.715	2.790	-0.067	0.012	130.134
1.401	11.271	0.715	2.591	0.187	-0.170	107.765
1.500	11.271	0.715	2.424	0.223	-0.311	91.152
1.601	11.271	0.715	2.283	-0.322	-0.421	78.300
1.701	11.270	0.714	2.164	-0.067	-0.510	68.022
1.801	11.270	0.715	2.064	0.005	-0.589	59.361
1.900	11.269	0.714	1.978	0.150	-0.632	51.345
2.001	11.270	0.715	1.908	-0.322	-0.672	45.806
2.101	11.270	0.714	1.847	-0.213	-0.696	41.571
2.201	11.269	0.713	1.795	-0.685	-0.719	38.819
2.301	11.270	0.714	1.754	-0.104	-0.734	36.676
2.402	11.270	0.714	1.718	-0.067	-0.733	34.766
2.501	11.270	0.714	1.687	0.078	-0.734	32.501
2.600	11.270	0.714	1.662	0.041	-0.745	30.721
2.701	11.265	0.709	1.636	0.223	-0.744	29.400
2.800	11.270	0.714	1.622	0.041	-0.745	28.502
2.902	11.271	0.715	1.607	0.404	-0.739	27.321
3.001	11.271	0.715	1.594	-0.285	-0.732	26.983
3.101	11.270	0.715	1.582	0.005	-0.725	26.878
3.201	11.270	0.714	1.572	0.150	-0.718	27.169
3.301	11.269	0.713	1.563	0.368	-0.721	26.847
3.401	11.270	0.714	1.558	0.041	-0.713	26.071
3.500	11.271	0.715	1.553	-0.176	-0.716	25.290
3.601	11.269	0.714	1.547	0.404	-0.710	24.946
3.700	11.270	0.715	1.543	0.187	-0.711	23.895
3.801	11.270	0.715	1.539	0.477	-0.709	22.947
3.900	11.269	0.713	1.534	0.078	-0.712	21.753
4.000	11.269	0.714	1.533	-0.176	-0.705	21.197
4.101	11.269	0.713	1.530	0.041	-0.705	20.689
4.200	11.270	0.714	1.529	0.005	-0.701	20.494
4.301	11.269	0.713	1.527	-0.067	-0.696	20.014
4.401	11.269	0.713	1.525	-0.031	-0.694	19.976
4.502	11.270	0.714	1.524	0.041	-0.703	17.983
