run 0						
time	Power PSU	Power SATA	Power PCIe	Power Memory		
0.100	39.889	4.402	0.975	0.899
0.200	30.761	2.598	0.721	0.231
0.300	32.935	3.247	0.833	0.309
0.401	39.719	3.295	0.854	1.152
0.500	34.044	3.082	0.662	0.241
0.600	50.238	3.566	1.013	2.081
0.700	49.261	3.013	1.069	1.521
0.800	43.255	5.618	0.961	1.062
0.900	38.453	3.996	0.969	1.329
1.000	34.125	4.337	0.900	1.180
1.101	33.638	4.251	1.015	1.173
1.200	33.963	3.801	0.852	0.289
1.300	26.671	4.104	0.702	0.253
1.400	37.882	5.140	0.989	0.730
1.500	37.001	4.479	0.901	0.230
1.600	31.245	3.740	0.849	0.370
1.701	37.350	3.898	0.872	1.665
1.800	31.028	4.493	0.840	0.173
1.900	34.717	3.234	0.849	0.768
2.000	37.608	5.337	1.033	0.203
2.101	24.427	4.260	0.744	0.558
2.200	35.774	3.608	1.126	0.163
2.300	36.508	5.333	0.925	1.870
2.401	44.268	3.694	0.976	0.800
2.500	41.675	5.017	0.912	0.991
2.601	28.814	3.568	0.920	0.189
2.700	38.441	3.379	1.018	0.169
2.800	27.337	3.445	0.845	0.412
2.901	39.290	3.872	1.050	0.427
3.001	23.899	3.662	0.633	0.366
3.101	47.418	3.906	0.954	0.283
3.200	37.424	4.858	0.927	0.794
3.300	29.790	3.575	1.018	0.804
3.401	41.491	4.939	1.087	1.329
3.500	26.311	5.398	0.805	0.334
3.601	61.622	3.245	1.247	0.628
3.700	35.388	4.054	0.965	1.278
3.801	22.146	2.844	0.749	0.058
3.900	32.782	3.962	0.839	0.260
4.000	30.312	4.098	0.783	0.428
4.101	44.753	3.822	0.929	0.584
4.200	39.249	4.304	1.040	0.073
4.301	26.996	3.723	0.787	0.165
4.401	36.885	5.368	1.016	0.013
4.501	25.220	3.948	0.728	0.122
4.600	40.346	4.479	0.857	1.540
4.700	39.993	3.340	0.951	1.153
4.800	34.780	4.047	0.963	1.069
4.900	35.316	4.411	1.027	1.528
5.000	28.005	5.303	0.791	0.130
5.100	37.970	4.444	0.952	1.448
5.200	41.057	3.787	1.057	0.288
5.300	43.245	3.938	1.096	2.212
5.400	34.066	4.222	0.970	0.686
5.500	26.687	4.198	0.856	0.144
5.601	32.822	3.121	0.607	0.489
5.700	32.538	3.952	0.932	0.567
5.800	38.500	3.658	0.989	0.433
5.900	27.633	3.981	0.735	0.125
6.000	30.988	3.384	0.714	0.391
6.101	30.953	4.875	0.815	0.170
6.201	37.394	3.950	0.910	0.968
6.300	26.832	4.034	0.826	0.168
6.401	33.838	4.125	0.861	1.388
6.500	28.131	2.712	0.680	0.450
6.601	34.071	4.724	0.948	0.501
6.700	35.345	3.268	0.929	1.835
6.800	27.844	4.928	0.766	0.091
6.900	44.626	4.065	1.008	2.225
7.000	41.049	3.441	0.951	0.615
7.100	36.941	4.814	0.803	0.707
7.200	42.162	3.889	0.942	1.355
7.301	76.501	5.412	1.163	1.280
7.400	40.025	3.255	0.934	0.022
7.500	30.772	3.403	0.707	0.310
7.600	24.086	4.053	0.847	0.403
7.700	40.930	4.643	0.909	0.958
7.801	38.461	4.084	0.930	1.667
7.901	36.460	4.304	1.010	0.794
8.001	34.824	5.256	0.926	0.579
8.100	40.970	3.866	0.924	0.056
8.201	27.218	5.467	0.752	0.061
8.300	36.803	3.068	0.865	0.757
8.400	36.363	5.539	0.822	1.462
8.500	36.642	4.632	0.909	1.645
8.601	29.212	4.132	0.667	0.199
8.700	30.842	4.663	0.734	0.039
8.800	28.075	3.180	0.862	1.863
8.900	32.833	4.439	0.907	1.399
9.001	33.657	3.035	0.762	0.227
9.100	33.695	4.175	0.935	1.608
9.201	28.189	3.144	0.891	1.711
9.301	41.897	3.610	0.954	0.757
9.400	34.424	4.177	1.004	0.486
9.501	42.165	2.716	0.912	1.186
9.601	33.635	5.106	0.829	0.281
9.700	36.874	5.305	0.817	0.178
9.800	31.584	4.572	0.863	0.429
9.900	34.654	3.405	0.933	0.847
10.000	35.288	5.117	0.820	0.293
10.100	31.358	3.667	0.797	0.313
10.200	35.946	4.710	0.883	0.869
10.301	31.970	2.954	0.630	0.198
10.400	33.758	2.910	0.910	1.323
10.500	44.251	3.963	0.929	0.585
10.600	41.372	3.932	0.857	0.962
10.700	38.744	3.484	0.907	1.423
10.800	26.124	2.762	0.688	0.227
10.900	35.094	4.914	0.914	0.994
11.001	35.531	2.546	0.948	0.046
11.101	61.389	3.992	1.084	1.157
11.200	38.776	3.821	1.014	0.772
11.300	31.822	3.729	0.629	0.079
11.400	30.318	3.353	0.787	0.157
11.500	37.358	4.099	0.894	0.726
11.600	37.503	3.811	0.892	0.729
11.701	33.031	4.860	0.766	0.248
11.800	38.899	4.512	0.984	0.055
11.900	31.993	4.734	0.847	0.282
12.001	28.215	3.469	0.706	0.274
12.100	37.463	4.297	0.822	0.252
12.201	39.426	3.744	0.961	0.812
12.300	28.955	3.727	0.750	0.193
12.400	40.554	3.757	1.046	1.170
12.500	26.884	3.981	0.703	0.058
12.601	29.172	2.792	0.917	0.441
12.700	34.206	4.024	0.736	0.085
12.801	29.843	3.110	0.787	0.200
12.899	35.232	5.176	0.839	0.182
13.000	37.726	3.620	0.869	0.239
13.100	34.309	4.041	0.754	0.245
13.200	28.401	4.164	0.948	0.986
13.300	28.264	3.256	0.723	0.247
13.400	44.574	4.967	1.050	1.211
13.499	33.693	3.255	0.591	0.473
13.600	37.340	4.292	0.861	1.541
13.700	27.772	4.115	0.787	0.399
13.800	35.999	4.101	1.077	0.710
13.900	35.471	5.261	1.058	1.498
14.000	30.984	2.790	0.702	0.367
14.100	43.018	4.260	0.864	1.450
14.200	31.538	4.314	0.912	0.915
14.300	44.489	4.873	0.970	0.227
14.399	33.856	3.679	0.987	1.328
14.500	26.502	3.307	0.668	0.372
14.601	41.067	4.806	1.018	0.184
14.701	28.798	4.476	0.741	0.042
14.800	36.400	3.967	0.682	0.242
14.900	42.242	3.428	0.953	0.976
15.000	30.813	2.713	0.953	0.190
15.101	26.654	4.916	0.752	1.992
15.200	30.929	3.028	0.820	1.264
15.300	28.780	3.395	0.699	0.310
15.399	34.873	4.559	0.951	1.095
15.499	24.907	4.393	0.815	0.252
15.600	38.408	4.707	1.147	1.418
15.700	39.272	5.229	0.971	0.731
15.800	57.331	4.304	0.969	1.516
15.899	37.306	4.013	0.965	0.915
16.001	66.327	4.820	1.123	1.127
16.099	25.053	3.962	0.775	0.514
16.199	40.483	3.960	0.905	1.392
16.299	22.771	2.864	0.732	0.719
16.400	39.467	5.135	0.976	2.854
16.500	35.538	4.057	0.903	1.567
16.600	30.458	3.279	0.799	0.586
16.700	39.072	5.088	0.804	0.595
16.801	36.968	2.717	0.715	0.930
16.901	31.593	5.231	0.773	0.328
17.000	34.111	3.844	0.953	1.093
17.100	25.336	2.703	0.763	0.218
