run 0						
time	Power PSU	Power SATA	Power PCIe	Power Memory		
0.100	31.149	2.135	1.459	0.076
0.199	24.440	2.400	1.602	0.447
0.301	40.864	2.639	1.882	1.691
0.400	33.830	2.371	1.690	1.390
0.501	52.994	1.814	2.188	2.403
0.600	50.061	1.787	2.019	2.201
0.700	46.689	2.012	2.036	1.857
0.799	54.106	1.758	1.699	1.319
0.900	47.605	1.920	2.161	1.405
1.000	58.690	2.748	2.211	1.360
1.100	51.235	2.367	2.135	1.987
1.200	54.661	3.008	1.801	1.593
1.300	54.281	3.116	5.533	1.259
1.400	50.543	3.178	8.490	1.586
1.500	45.960	3.282	9.134	1.187
1.601	44.136	3.956	8.108	1.301
1.701	50.724	3.152	4.080	0.584
1.800	59.320	3.046	3.548	1.413
1.900	36.608	2.756	3.023	0.395
2.000	54.754	2.664	4.602	0.718
2.100	46.795	3.104	3.417	0.588
2.199	55.470	2.509	3.151	0.653
2.299	46.461	2.455	4.126	0.577
2.400	51.935	2.092	3.250	1.076
2.500	54.043	2.025	4.323	0.888
2.600	53.249	1.672	4.288	1.355
2.701	50.388	4.612	4.662	1.211
2.801	48.519	2.316	3.623	1.342
2.900	49.234	2.723	3.295	1.834
2.999	51.542	2.546	3.876	1.270
3.100	45.515	2.735	4.537	1.050
3.200	51.155	2.848	3.183	1.563
3.300	57.928	3.331	3.135	1.482
3.400	59.671	3.154	4.527	1.338
3.500	47.296	3.280	4.517	1.076
3.601	46.272	3.133	4.465	0.744
3.700	49.339	2.877	3.966	0.606
3.799	53.984	2.655	3.867	0.676
3.899	47.688	3.139	4.585	1.345
3.999	47.748	2.612	3.212	1.806
4.101	53.405	2.099	3.445	1.406
4.201	54.994	2.161	4.596	1.253
4.301	50.346	2.163	3.510	1.448
4.400	55.002	1.952	3.460	1.204
4.500	50.440	2.017	4.229	1.496
4.601	54.313	1.759	4.037	1.877
4.699	50.243	2.329	4.849	1.260
4.800	43.847	2.139	3.329	0.892
4.900	50.593	2.723	3.530	0.676
4.999	53.619	2.452	4.134	0.775
5.099	49.611	2.858	4.593	0.941
5.199	46.210	2.866	3.247	0.862
5.300	49.579	2.937	3.274	1.041
5.400	51.998	3.331	3.412	0.687
5.499	46.578	3.336	4.613	0.737
5.599	47.821	4.444	4.346	1.084
5.701	45.784	2.631	4.388	0.760
5.800	44.891	2.504	4.164	1.184
5.899	45.830	2.521	4.316	1.466
6.001	52.413	2.278	3.390	1.636
6.099	42.276	2.408	3.176	1.559
6.199	40.986	2.283	3.907	1.452
6.299	47.894	1.931	3.241	1.312
6.399	42.389	1.873	3.274	1.290
6.499	42.464	2.127	4.326	1.872
6.600	53.466	2.383	3.929	1.843
6.699	52.291	2.524	3.549	1.624
6.799	55.056	2.556	3.290	1.302
