run 0						
time	Power PSU	Power SATA	Power PCIe	Power Memory		
0.100	27.488	2.304	1.529	0.293
0.200	35.963	3.544	1.677	1.446
0.300	36.328	4.536	1.807	1.240
0.400	32.275	3.601	1.696	0.350
0.500	33.225	4.057	1.976	1.030
0.601	38.185	3.389	1.769	0.902
0.701	46.146	4.277	1.947	0.675
0.801	44.654	3.097	1.884	0.683
0.900	50.425	4.048	2.003	1.080
1.001	56.043	3.247	2.280	1.349
1.101	58.790	3.648	2.082	1.965
1.200	52.919	3.206	2.073	1.677
1.301	58.894	2.785	2.270	1.512
1.401	54.956	3.771	1.987	1.812
1.501	52.455	2.909	2.174	1.650
1.600	56.186	5.334	2.256	2.163
1.701	57.645	3.190	1.903	2.080
1.800	53.180	3.669	1.840	1.668
1.900	53.182	3.144	1.956	1.726
2.000	47.190	2.975	2.126	1.519
2.100	41.397	3.618	1.883	1.500
2.200	38.189	2.779	1.916	1.390
2.300	43.015	4.823	1.988	1.785
2.401	49.773	4.235	2.074	2.099
2.501	45.277	2.802	1.953	1.397
2.600	45.786	3.995	2.032	0.919
2.700	45.738	3.728	2.138	0.601
2.801	42.648	2.879	1.719	1.145
2.901	53.181	3.183	1.922	1.117
3.000	45.744	3.568	1.936	0.848
3.101	38.196	2.899	1.981	0.945
3.201	49.492	5.041	1.596	1.001
3.301	38.141	3.209	1.765	1.081
3.401	37.016	2.342	1.973	1.234
3.501	44.227	2.928	1.899	1.406
3.601	49.552	2.770	1.917	1.810
3.700	45.264	3.637	1.911	1.763
3.801	43.567	3.617	1.792	1.538
3.900	39.349	4.947	2.031	1.771
4.000	36.229	4.170	1.738	1.348
4.100	36.216	3.051	1.642	1.630
4.201	44.168	3.124	2.026	1.633
4.301	36.579	2.217	1.662	1.263
4.400	43.274	3.253	1.866	0.612
4.500	44.425	3.128	1.735	0.649
4.601	40.773	3.054	1.770	0.812
4.700	49.257	2.602	1.726	1.647
4.800	43.449	3.005	1.973	1.782
4.900	40.045	2.466	1.877	1.554
5.001	41.240	3.436	1.881	1.365
5.101	41.874	2.986	1.805	1.414
5.200	40.847	3.454	1.569	1.285
5.301	44.344	3.841	1.703	1.680
5.400	46.642	3.125	1.848	2.024
5.501	39.112	3.829	1.904	1.076
5.601	49.025	2.423	2.043	0.711
5.701	48.466	3.371	1.746	0.908
5.801	39.098	2.964	3.801	1.060
5.900	42.522	3.661	3.254	0.539
6.000	43.332	3.361	4.079	0.734
6.100	50.063	3.426	4.101	0.919
6.200	45.088	3.645	1.797	0.995
6.301	42.428	3.567	1.846	0.938
6.401	41.055	3.216	1.908	0.698
6.501	46.914	3.164	1.918	0.837
6.601	48.604	4.200	1.620	1.353
6.700	48.918	3.292	1.830	1.242
6.800	47.797	3.227	2.063	1.251
6.901	40.791	2.938	1.779	1.461
7.000	44.043	3.036	1.984	0.835
7.100	42.969	4.454	1.938	1.757
7.200	45.797	3.344	1.793	1.927
7.301	43.628	3.622	1.870	1.714
7.401	35.404	3.406	2.056	1.929
7.500	48.091	2.549	1.712	1.915
7.600	47.542	3.805	1.823	1.530
7.701	45.819	4.237	1.784	1.183
7.800	43.212	4.307	2.132	1.536
7.900	44.649	2.597	1.939	1.471
8.000	37.141	4.497	1.756	1.868
8.100	44.271	3.122	1.960	1.196
8.200	44.713	3.448	1.772	0.848
8.300	47.498	3.824	1.721	0.584
8.400	51.134	2.580	1.973	0.870
8.500	41.159	3.516	1.670	1.247
8.599	41.866	2.753	2.054	1.182
8.701	43.002	3.273	1.908	1.168
8.800	38.169	2.628	1.785	0.992
8.900	45.287	4.173	1.989	1.159
9.000	35.676	2.982	2.147	1.139
9.100	45.902	3.099	1.945	1.042
9.201	41.686	4.147	1.768	1.091
9.300	46.390	3.146	1.709	1.747
9.401	45.949	3.458	1.863	1.785
9.500	46.847	2.940	1.841	1.590
9.601	43.382	4.385	1.989	1.257
9.700	41.711	2.270	1.884	1.131
9.800	46.046	3.225	1.654	1.473
9.901	41.115	3.358	1.880	1.390
10.001	44.799	2.217	1.987	1.150
10.100	37.174	2.781	1.972	0.656
10.201	43.980	2.818	1.759	0.763
10.301	37.305	3.354	2.033	1.423
10.400	44.000	2.948	1.952	1.804
10.500	47.504	3.980	2.022	1.818
10.600	41.709	3.665	1.849	1.962
10.700	46.772	3.592	1.582	1.063
