run 0						
time	Power PSU	Power SATA	Power PCIe	Power Memory		
0.100	48.459	3.068	0.929	1.199
0.200	39.536	2.526	0.803	1.093
0.300	40.651	4.694	0.824	1.353
0.400	55.917	3.985	1.057	1.718
0.500	51.421	4.931	0.994	1.460
0.599	50.896	3.274	1.022	0.918
0.699	55.372	3.781	0.996	1.161
0.801	49.131	5.109	0.946	0.762
0.899	49.188	5.204	1.065	0.731
1.000	57.248	5.135	1.059	1.094
1.100	56.336	4.107	1.005	1.031
1.201	54.467	2.913	1.098	0.953
1.299	62.170	3.820	1.044	0.881
1.400	46.892	5.167	1.090	0.948
1.501	49.687	4.859	0.998	0.941
1.600	53.421	5.110	1.101	1.391
1.699	49.722	4.438	1.014	1.664
1.800	47.523	3.394	0.942	1.554
1.901	47.831	4.782	0.951	1.737
2.000	48.233	3.564	1.132	1.806
2.101	43.758	4.793	0.969	1.511
2.199	44.413	3.145	0.859	1.286
2.299	44.307	4.818	0.971	1.703
2.401	35.685	4.800	0.951	1.403
2.500	38.333	4.287	0.768	1.161
2.599	38.567	4.247	0.916	1.008
2.701	39.010	3.818	0.781	0.670
2.800	38.751	5.225	0.861	1.461
2.901	35.759	2.914	0.947	1.409
3.001	40.028	4.827	0.745	1.704
3.099	32.913	3.971	0.768	1.679
3.199	38.117	3.607	0.877	1.729
3.300	39.144	5.250	0.865	1.829
3.401	41.378	4.031	0.779	1.741
3.500	39.792	4.597	0.741	1.812
3.600	40.147	3.421	0.807	2.073
3.700	42.292	5.301	0.855	1.420
3.799	34.732	3.732	0.914	0.901
3.900	41.889	4.506	0.930	1.037
4.000	39.639	4.908	0.822	0.933
4.099	33.964	4.388	0.771	0.858
4.201	42.394	4.922	0.870	0.894
4.300	41.697	3.807	0.853	0.564
4.399	45.387	3.998	0.835	0.678
4.499	38.278	3.359	0.850	0.872
4.599	36.178	3.431	0.763	0.612
4.700	47.998	5.008	0.892	1.022
4.800	40.008	5.025	0.754	1.089
4.900	35.814	4.662	0.887	1.455
5.000	39.695	4.059	0.848	1.491
5.100	43.120	4.291	0.784	1.569
5.199	40.678	4.062	0.875	1.606
5.300	47.702	4.711	0.882	1.304
5.400	39.676	4.831	0.715	1.173
5.499	45.793	2.909	0.884	1.735
5.600	36.650	4.231	0.981	1.856
5.701	37.040	4.259	0.766	1.890
5.799	45.413	4.598	0.866	1.457
5.900	40.358	3.680	0.851	1.832
6.000	43.601	5.026	0.945	1.469
6.099	42.794	3.407	0.790	1.139
6.200	42.139	3.998	0.821	1.365
6.301	41.678	4.414	0.878	1.957
6.399	42.107	4.148	0.856	1.675
6.499	44.607	4.867	0.784	1.197
6.599	37.877	4.924	0.778	1.167
6.700	42.630	4.749	0.788	0.659
6.799	37.449	3.636	0.803	0.892
6.901	47.990	4.366	0.861	0.583
