run 0						
time	Power PSU	Power SATA	Power PCIe	Power Memory		
0.100	27.152	2.929	1.729	0.540
0.199	32.920	3.543	1.516	0.273
0.299	54.485	3.382	1.652	0.840
0.399	66.030	3.374	2.071	1.342
0.501	59.550	3.091	2.356	1.353
0.599	57.122	3.127	2.008	1.458
0.700	63.816	2.900	2.018	1.263
0.800	59.773	3.076	2.221	1.371
0.900	47.834	2.478	1.567	1.225
0.999	51.727	2.356	1.997	1.469
1.099	49.990	2.575	2.219	1.313
1.199	59.393	2.102	7.687	1.420
1.300	55.622	1.905	5.980	2.070
1.400	52.559	2.056	7.947	2.005
1.500	40.346	2.312	4.531	1.608
1.601	44.607	1.976	4.364	1.392
1.700	64.836	2.843	4.106	1.824
1.799	57.288	2.953	3.277	1.346
1.900	50.279	2.843	4.230	1.323
1.999	52.903	3.198	3.152	1.226
2.099	62.044	3.367	3.744	1.438
2.199	50.703	3.429	3.669	1.493
2.299	60.908	3.511	3.581	0.961
2.400	62.002	2.986	4.628	1.030
2.499	59.688	3.001	4.539	1.396
2.599	40.788	2.407	3.267	1.765
2.699	33.317	2.348	3.989	1.534
2.800	38.105	2.066	3.448	1.679
2.900	48.050	2.100	3.350	1.453
2.999	39.554	1.826	3.606	1.450
3.100	47.353	2.061	4.395	1.754
3.200	48.052	1.870	3.215	2.016
3.300	47.571	2.244	3.318	1.548
3.400	56.637	1.967	4.309	0.818
3.499	55.423	2.292	3.204	0.826
3.600	55.250	2.417	3.203	1.206
3.700	53.368	2.661	3.665	0.757
3.800	58.102	2.838	3.661	0.839
3.899	53.765	3.366	4.243	0.707
3.999	47.260	3.812	4.631	0.615
4.100	49.000	3.346	4.516	1.503
4.201	40.405	3.329	3.133	0.584
4.301	46.158	2.821	3.078	1.185
4.399	44.193	2.735	4.126	1.443
4.501	40.207	2.393	3.504	1.522
4.601	43.175	2.511	3.408	2.244
4.699	43.597	2.033	4.233	1.996
4.799	50.654	1.781	4.390	1.512
4.900	46.167	1.916	4.558	1.495
5.000	41.828	1.644	4.065	1.781
5.100	49.585	1.812	3.990	1.895
5.201	46.552	2.572	4.100	2.373
5.300	54.227	2.597	5.434	1.472
5.399	45.677	2.682	3.041	1.508
5.501	46.324	2.760	3.711	1.665
5.601	44.497	2.861	4.236	1.330
5.700	46.575	2.975	3.078	1.647
5.800	45.725	3.392	2.922	1.827
5.900	42.313	3.382	3.040	1.447
6.000	38.357	3.326	3.094	1.396
6.100	52.627	3.260	3.512	0.891
6.199	51.324	3.053	4.654	0.953
6.299	43.497	2.692	3.462	1.163
6.399	46.495	2.545	3.708	0.589
6.499	51.196	2.404	3.204	0.991
6.599	38.566	2.352	4.552	0.749
6.700	41.345	1.990	4.490	0.800
6.799	42.000	1.908	4.333	0.966
6.900	45.305	2.386	4.002	0.750
7.000	42.112	1.941	4.282	0.991
7.100	46.477	2.183	3.524	1.062
7.200	43.092	2.371	3.729	1.498
7.299	43.758	2.325	4.159	1.952
7.400	50.062	2.686	4.249	1.509
7.499	43.704	3.169	4.174	1.373
7.600	42.984	3.354	3.316	1.347
7.699	48.787	3.201	3.504	1.301
7.799	51.679	3.361	3.839	1.750
7.899	52.297	3.241	3.842	1.467
7.999	53.701	2.953	3.855	0.972
8.099	42.133	3.061	3.499	0.961
8.199	38.620	2.766	3.167	0.914
8.299	42.886	2.667	3.771	1.347
8.400	46.007	2.273	3.826	1.558
8.499	49.566	2.125	3.190	1.819
8.600	43.987	1.938	3.425	1.423
8.700	43.107	1.862	4.479	1.399
8.800	47.326	1.568	4.400	1.872
8.899	46.703	1.860	3.843	1.536
9.000	42.084	1.948	4.447	1.454
9.100	44.245	2.335	4.377	1.547
9.199	43.797	2.119	3.375	1.016
9.299	47.887	2.645	3.395	0.777
9.399	48.628	2.791	4.416	1.204
9.499	45.650	2.626	4.520	0.980
9.600	41.057	2.980	3.617	0.907
9.700	41.649	3.242	4.709	1.126
9.799	39.989	4.732	3.859	1.071
9.900	45.332	3.377	5.405	1.042
10.000	45.752	3.143	3.558	0.961
10.099	46.051	2.253	2.960	1.110
10.199	44.166	2.337	3.249	1.067
10.299	43.711	2.198	4.490	1.539
10.399	47.796	2.278	3.414	2.141
10.499	49.641	1.796	4.294	1.703
10.599	42.551	1.650	4.212	2.224
10.699	39.663	1.576	4.091	1.548
10.799	44.159	1.884	4.496	2.004
10.900	48.026	2.082	3.379	2.046
10.999	44.061	2.795	4.128	2.067
11.100	44.955	2.764	3.146	1.515
11.199	46.681	2.936	3.651	1.557
11.300	45.797	3.038	4.301	1.344
11.399	50.835	2.774	4.222	1.511
11.499	45.589	3.244	3.319	1.488
11.600	43.398	3.524	3.913	1.290
11.699	45.771	3.340	4.662	1.356
11.800	51.020	3.051	3.956	1.099
11.900	39.588	2.913	4.085	1.263
12.000	46.333	2.591	4.032	1.144
12.099	45.413	2.607	3.976	0.641
12.200	50.418	2.045	3.343	0.786
12.300	49.615	2.238	3.412	0.997
12.399	50.280	2.235	3.264	0.954
12.500	57.239	1.838	3.645	0.867
12.599	56.537	1.742	3.561	1.035
12.700	49.941	4.551	3.631	0.881
12.799	53.660	2.105	4.127	0.874
12.899	53.970	1.930	4.582	1.312
13.000	59.250	2.424	3.428	1.765
13.099	56.251	2.539	4.571	1.837
13.200	59.302	2.760	3.629	2.013
13.299	51.961	3.248	4.886	1.303
13.399	54.069	3.542	3.665	1.295
13.500	47.444	3.331	3.547	1.453
13.600	48.513	3.308	4.013	1.464
13.699	45.694	3.073	3.865	1.411
13.800	42.795	2.884	3.268	1.214
13.900	46.575	2.713	3.904	0.711
13.999	36.662	2.298	5.550	0.733
14.100	42.040	2.467	6.584	1.201
14.200	41.337	2.341	4.366	1.609
14.299	50.141	2.309	3.174	1.886
14.399	41.537	2.055	4.196	1.647
14.499	39.325	1.872	4.128	1.218
14.600	47.876	1.866	2.937	1.262
14.700	44.341	2.300	3.547	1.658
14.800	48.484	2.093	3.075	1.966
14.900	47.833	2.361	4.624	1.847
15.000	47.343	2.432	4.424	0.887
15.099	44.935	2.820	3.842	0.883
15.200	45.706	2.905	3.979	0.674
15.299	49.061	3.344	3.115	0.727
15.399	43.648	3.261	3.996	0.947
15.499	44.101	3.259	3.415	1.061
15.600	43.703	4.285	4.422	0.654
15.699	45.481	2.860	4.349	0.802
15.799	41.981	2.529	4.481	0.996
15.900	47.970	2.704	4.553	1.126
16.000	41.296	2.696	3.735	1.217
16.099	41.709	2.677	4.112	1.291
16.200	43.966	2.504	4.064	1.392
16.300	40.975	1.931	3.712	1.913
16.399	43.473	2.009	3.987	1.543
16.500	45.802	1.792	5.403	1.687
16.599	51.334	1.935	4.276	1.867
16.699	46.268	2.129	4.319	2.143
16.799	49.128	2.750	3.256	2.230
16.900	42.812	2.532	3.439	1.606
17.000	43.181	3.098	4.575	1.930
17.100	44.398	3.068	4.116	2.075
17.199	50.802	3.376	3.187	1.357
17.299	51.966	3.213	3.174	1.483
17.400	51.904	3.663	5.492	1.738
17.500	44.042	2.626	4.401	2.093
17.600	53.086	3.003	3.831	1.681
17.700	39.491	2.910	3.121	1.278
17.799	42.252	2.495	4.288	0.921
17.899	49.240	2.918	3.791	1.144
17.999	41.148	2.247	4.249	1.079
18.100	42.405	1.978	4.237	1.521
18.199	42.837	1.747	3.675	1.379
18.300	46.195	1.668	3.253	1.398
18.400	52.373	2.045	3.520	1.442
18.499	42.679	3.614	2.869	1.600
18.600	42.993	2.138	3.982	2.054
18.699	43.554	2.677	4.098	1.847
18.799	47.978	2.891	4.176	1.878
18.899	47.101	2.855	4.404	1.996
19.000	48.529	3.073	4.495	1.710
19.101	46.302	3.477	2.960	1.243
19.199	39.042	3.206	3.974	1.318
19.299	41.806	3.041	3.261	1.387
19.400	47.813	3.289	3.560	1.565
19.500	44.786	3.289	4.666	1.528
19.599	42.850	2.853	3.505	1.247
19.699	49.299	2.688	3.647	0.807
19.799	45.608	2.252	3.249	1.074
