run 0						
time	Power PSU	Power SATA	Power PCIe	Power Memory		
0.100	51.101	3.141	0.900	0.967
0.200	39.232	2.742	0.934	1.563
0.301	47.870	2.533	1.034	2.049
0.400	49.209	3.147	0.776	2.267
0.500	56.448	3.795	1.047	1.324
0.600	54.314	2.735	0.973	1.192
0.700	48.015	3.832	0.930	0.966
0.801	51.815	3.243	1.011	0.876
0.900	45.860	3.306	1.039	1.064
1.000	48.039	3.655	1.005	0.864
1.100	48.441	3.034	0.962	0.747
1.200	48.960	4.082	0.921	0.799
1.300	50.760	3.266	0.959	0.894
1.400	54.386	3.305	0.950	0.936
1.500	46.255	2.677	0.924	0.874
1.600	40.679	4.295	0.787	1.010
1.699	43.216	2.923	0.916	1.326
1.800	43.706	3.407	0.802	1.410
1.899	38.834	4.612	1.027	1.743
2.000	39.291	4.736	0.738	1.330
2.101	38.570	3.819	0.818	0.979
2.199	51.601	4.438	0.929	1.484
2.300	37.104	5.111	0.833	1.438
2.400	44.140	3.801	0.903	1.992
2.500	43.252	3.020	0.737	1.611
2.601	42.775	4.496	0.865	1.563
2.701	32.714	3.041	0.763	1.648
2.800	37.801	3.517	0.836	1.723
2.900	43.154	2.589	0.975	1.340
3.000	40.282	4.689	0.795	1.147
3.099	37.956	4.310	0.847	1.742
3.200	40.764	4.783	0.909	1.350
3.300	42.776	2.346	0.820	1.215
3.400	46.034	4.287	0.888	0.836
3.500	42.446	12.252	0.912	0.901
3.600	44.759	5.210	0.832	0.776
3.699	38.908	3.606	0.763	0.654
3.800	40.223	2.473	0.830	0.910
3.900	44.720	2.418	0.971	0.973
4.000	44.412	3.758	0.788	0.961
4.101	42.499	2.305	0.832	0.542
4.201	35.821	2.804	0.872	1.080
4.299	41.105	3.724	0.935	1.558
4.400	39.413	2.806	0.763	1.200
4.500	41.717	3.474	1.013	2.028
4.599	40.204	3.010	0.740	1.456
4.700	45.630	3.102	0.851	1.322
4.800	35.785	2.637	0.775	1.182
4.899	37.357	2.180	0.875	0.955
5.000	41.590	3.110	0.845	1.297
5.100	38.514	3.571	0.806	1.504
5.199	46.910	2.704	0.804	1.416
5.300	42.985	5.579	0.881	1.065
5.400	49.062	3.392	0.766	0.799
5.500	43.936	3.098	0.949	0.861
5.600	34.855	2.804	0.980	1.164
5.701	39.096	2.686	0.827	1.079
5.800	41.695	2.958	0.968	1.950
5.900	41.671	3.081	0.816	1.605
6.000	42.831	3.684	0.815	1.761
6.100	43.816	4.621	0.751	1.376
6.199	40.118	3.230	0.741	1.700
6.300	42.374	2.431	0.848	1.846
6.400	35.542	3.411	0.862	1.905
6.499	39.143	5.159	0.807	2.071
6.600	37.677	2.484	0.944	0.974
6.700	39.017	3.972	0.841	1.040
6.800	39.938	2.669	1.009	0.799
6.900	41.280	3.115	0.893	0.991
7.000	46.620	3.983	0.820	0.770
7.099	46.943	3.188	0.942	0.655
7.200	47.982	4.318	1.083	0.991
7.299	38.904	2.507	0.702	0.967
7.400	39.832	3.992	0.925	0.875
7.500	35.957	2.617	0.868	0.683
7.600	37.195	4.282	0.812	0.956
7.700	38.808	3.091	0.824	1.691
7.800	43.417	2.996	0.931	1.864
