run 0						
time	Power PSU	Power SATA	Power PCIe	Power Memory		
0.100	37.427	3.303	2.058	0.257
0.200	30.709	3.164	1.737	0.630
0.301	36.930	3.206	1.672	1.826
0.400	49.381	2.866	2.115	1.549
0.500	41.070	3.132	2.044	1.255
0.600	51.213	2.371	2.113	0.933
0.700	54.328	2.458	1.868	1.039
0.800	54.851	2.291	2.161	1.354
0.900	50.325	2.666	2.108	1.235
1.000	55.667	2.227	1.897	1.207
1.101	50.376	2.021	1.994	1.628
1.201	60.799	1.780	2.142	1.866
1.300	59.589	2.511	1.722	1.546
1.400	52.374	2.146	1.698	1.234
1.500	54.615	2.403	1.894	1.569
1.601	61.925	2.094	2.082	2.099
1.700	56.449	2.501	2.113	2.062
1.800	58.503	2.813	2.025	1.628
1.900	49.049	2.972	1.776	2.095
2.000	50.019	3.134	1.807	1.654
2.101	56.377	3.419	2.243	1.559
2.200	53.340	3.780	2.011	1.693
2.300	56.386	3.212	1.970	1.363
2.400	43.540	2.925	1.734	1.449
2.500	45.168	2.575	1.712	1.425
2.600	37.756	2.687	1.953	0.843
2.700	42.867	2.359	1.602	1.194
2.800	40.636	2.375	1.724	1.526
2.900	40.172	2.274	1.946	1.169
3.001	42.852	1.923	1.646	1.639
3.100	45.340	1.744	2.045	1.509
3.200	42.390	1.520	1.719	1.241
3.301	41.671	1.688	2.056	1.095
3.400	45.155	2.186	1.740	1.806
3.500	40.943	1.976	2.063	2.038
3.601	49.828	2.504	1.923	1.954
3.700	42.931	2.778	1.870	2.022
3.800	46.085	2.754	1.849	1.519
3.900	47.270	3.228	1.958	1.448
4.000	42.678	3.084	1.776	1.166
4.100	47.447	3.199	1.925	1.255
4.200	37.621	3.176	1.679	1.172
4.300	46.561	3.323	1.726	1.406
4.400	33.711	2.730	1.618	1.180
4.500	39.434	2.451	1.956	1.018
4.600	39.771	3.043	2.099	0.916
4.700	43.474	2.221	1.930	0.842
4.800	40.480	2.081	1.726	1.273
4.900	44.796	2.005	2.028	1.497
5.000	45.549	1.721	1.850	1.666
5.101	42.905	1.970	1.996	1.872
5.201	44.966	1.598	1.791	1.506
5.301	42.092	1.854	1.625	1.276
5.400	44.813	2.050	1.839	1.636
5.500	40.803	2.685	3.566	2.185
5.600	46.356	2.442	3.541	1.785
5.700	48.271	2.930	4.467	1.900
5.801	42.064	2.579	1.597	1.754
5.900	40.937	2.795	1.930	1.348
6.000	42.560	3.044	1.506	1.653
6.101	43.284	3.573	1.901	1.715
6.200	45.328	3.312	1.984	1.489
6.301	43.151	3.733	2.044	1.618
6.400	42.435	3.122	1.841	1.146
6.500	39.328	3.037	1.797	0.784
6.600	41.906	2.970	1.818	0.845
6.701	45.166	2.536	1.644	1.045
6.800	46.677	2.294	2.193	0.955
6.900	48.572	1.944	1.642	0.906
7.000	37.430	2.149	2.005	0.636
7.100	41.725	1.801	1.834	1.015
7.200	45.650	1.644	1.920	1.226
7.300	42.738	1.969	1.575	1.410
7.400	49.242	2.416	2.044	1.445
7.500	44.337	2.455	2.022	1.522
7.600	48.510	2.444	1.944	2.086
7.701	48.546	2.542	2.001	1.651
7.801	42.835	2.833	2.125	1.738
7.900	47.524	2.852	2.060	1.501
8.000	45.387	3.528	1.652	1.218
8.101	40.886	3.294	1.963	1.654
8.200	44.146	3.194	1.869	1.600
8.300	47.137	3.120	2.102	1.073
8.400	43.874	2.693	1.836	0.698
8.500	42.465	2.411	1.969	0.729
8.600	40.660	2.312	1.790	1.554
8.701	40.063	2.569	1.747	1.284
8.801	42.288	2.059	1.688	1.489
8.900	46.657	1.740	2.039	1.672
9.000	44.770	1.729	1.814	1.447
9.100	43.887	1.726	2.065	1.647
9.200	47.296	2.086	1.848	1.654
9.300	39.994	1.880	1.921	1.557
9.401	47.095	2.358	1.705	1.849
9.500	47.758	2.592	1.875	0.972
9.600	46.875	2.761	1.653	1.079
9.699	50.629	2.902	1.943	0.959
9.800	46.888	3.202	1.670	0.722
9.900	43.158	3.289	2.102	1.114
10.000	47.658	3.304	1.786	0.793
10.100	47.245	2.971	1.728	0.958
10.200	42.003	2.903	2.136	0.709
10.300	45.032	2.584	1.645	0.898
10.400	39.960	2.539	1.543	0.846
10.500	47.641	2.566	3.511	1.157
10.600	43.907	2.460	3.779	1.419
10.700	45.718	2.169	4.365	1.288
10.800	47.330	2.230	1.801	1.961
10.900	44.987	2.034	1.645	1.125
11.000	42.993	1.669	1.693	1.142
11.100	45.072	1.923	1.828	1.539
11.200	41.219	2.102	1.790	1.853
11.299	45.838	2.090	1.667	2.398
11.400	39.645	2.279	2.004	1.660
11.500	46.979	2.715	1.624	1.537
11.600	44.350	2.513	1.844	1.622
11.701	45.314	3.177	1.677	1.444
11.800	48.101	3.027	1.675	1.496
11.901	49.332	3.434	1.770	1.333
12.000	42.536	3.042	1.881	1.801
12.101	46.519	3.898	7.132	1.664
12.200	47.264	3.104	5.902	1.567
12.300	47.091	3.093	8.272	1.296
12.400	43.396	2.515	2.879	1.396
12.500	61.970	2.944	4.010	0.718
12.600	55.981	2.342	4.114	0.989
12.701	65.961	2.444	3.790	1.207
12.800	53.510	2.291	3.969	1.015
12.900	53.624	1.871	4.120	0.820
13.000	61.584	2.091	4.868	0.694
13.100	52.782	1.811	3.450	0.917
13.201	53.473	1.940	4.471	1.505
13.300	56.232	2.671	3.705	1.436
13.400	64.507	2.322	4.411	1.700
13.500	67.929	2.922	5.032	1.486
13.600	60.685	2.489	4.316	1.597
13.699	62.895	3.056	3.784	1.286
13.801	61.021	3.450	4.895	1.212
13.900	55.797	3.266	3.864	1.305
14.000	54.332	3.215	4.390	0.991
14.101	49.521	3.516	3.678	1.256
14.200	50.643	3.363	3.888	0.843
14.300	51.729	2.633	3.399	0.975
14.400	43.712	2.828	3.605	1.205
14.501	54.064	2.684	4.776	1.816
14.601	48.930	2.064	3.359	1.953
14.700	46.158	2.011	4.146	1.880
14.801	46.501	2.013	4.857	1.513
14.900	52.312	1.785	4.238	1.823
15.001	52.391	2.009	5.021	1.906
15.101	55.558	1.784	3.185	1.716
15.200	64.402	2.222	5.366	1.704
15.301	62.691	2.859	3.285	1.091
15.400	60.418	2.598	4.759	1.291
15.500	63.448	2.549	4.927	0.960
15.601	53.871	2.744	4.557	0.557
15.700	62.498	3.037	3.556	0.821
15.800	57.836	3.034	3.299	1.041
15.900	67.416	3.310	4.858	1.143
16.000	57.313	3.385	3.545	0.487
16.100	60.780	3.077	3.739	0.878
16.200	62.166	3.205	3.473	1.318
16.301	60.059	2.893	4.463	1.171
16.400	54.860	2.527	3.541	1.365
16.500	62.068	2.386	3.253	1.902
16.600	56.308	2.210	4.420	1.562
16.700	57.871	2.566	3.579	1.164
16.800	67.075	2.039	3.187	1.431
16.900	64.358	1.925	3.595	1.953
17.000	57.721	1.616	4.594	2.152
17.100	61.361	1.862	4.831	1.999
17.200	52.337	1.958	3.880	2.053
17.299	55.762	2.863	4.131	1.546
17.400	53.826	2.868	3.258	1.398
17.500	52.627	3.031	3.423	1.686
17.599	52.562	3.009	4.093	1.361
17.700	57.222	3.414	4.688	1.737
17.800	57.416	3.494	4.065	1.801
17.900	56.925	3.619	3.859	1.628
18.001	53.998	2.957	4.157	1.039
18.101	52.916	2.938	3.643	1.202
18.200	46.205	2.832	4.574	0.658
18.299	53.666	2.838	3.341	1.468
18.400	56.023	2.054	4.557	0.909
18.500	61.316	2.447	4.781	0.781
18.600	56.727	1.957	4.371	0.977
18.700	63.967	1.948	3.414	1.055
18.800	55.945	1.976	4.602	1.076
18.900	60.949	1.899	3.447	1.338
19.000	61.196	1.898	4.671	1.595
19.101	52.520	2.155	4.619	1.554
19.200	52.088	2.283	3.751	1.715
19.300	45.932	2.717	4.566	1.370
19.400	50.131	2.875	3.513	1.206
19.500	55.024	2.862	3.466	1.371
19.599	47.132	3.496	4.973	1.668
19.701	52.992	3.225	3.530	1.785
19.800	55.823	3.141	3.589	0.932
19.900	58.456	3.246	3.953	1.327
20.000	50.927	3.218	4.162	0.902
20.099	55.012	2.672	3.713	1.325
20.200	57.529	3.334	3.430	1.292
20.300	47.316	2.717	3.840	1.750
20.399	51.606	2.488	3.430	1.467
20.500	57.487	2.046	4.297	1.299
20.600	65.192	2.024	3.606	1.355
20.701	62.707	1.858	4.066	1.717
20.799	57.324	1.935	4.222	1.577
20.900	60.292	1.652	3.724	1.608
21.000	60.530	2.168	3.419	1.229
21.100	61.078	2.466	4.041	1.393
21.199	64.968	2.723	3.307	0.830
21.301	59.295	2.967	3.658	0.940
21.400	62.643	2.667	4.186	0.823
21.501	58.173	2.849	4.101	1.092
21.600	60.145	2.859	3.752	0.614
21.700	59.071	3.132	3.795	1.208
21.800	62.221	3.414	4.665	1.237
21.900	59.877	3.232	3.320	1.169
22.000	55.163	2.860	3.534	1.406
22.100	61.327	2.784	3.047	1.999
22.200	60.245	2.385	4.592	1.943
22.300	58.302	2.207	4.639	2.076
22.400	62.249	2.170	4.494	1.414
22.500	66.395	1.982	3.102	1.669
22.600	61.742	1.833	3.963	2.189
22.700	49.893	1.647	3.161	1.872
22.800	48.484	1.818	3.530	2.127
22.900	51.294	2.318	3.216	1.662
22.999	52.935	2.235	4.458	1.508
23.100	54.520	2.892	4.704	1.559
23.200	55.594	2.718	4.213	1.413
23.300	57.367	2.824	4.696	1.464
23.400	50.453	3.336	4.798	1.561
23.500	54.585	3.103	3.108	1.631
23.600	55.802	3.511	3.313	0.969
23.700	54.457	3.985	3.966	0.698
23.800	48.616	3.292	4.430	0.839
23.900	53.258	3.266	3.747	0.944
24.000	55.519	2.689	4.355	1.026
24.101	52.651	2.455	3.976	0.790
24.200	49.425	2.460	4.221	0.840
24.301	58.316	2.500	3.471	0.914
24.400	49.315	2.338	3.505	0.957
24.501	53.664	1.871	4.302	0.890
24.601	50.299	1.927	4.628	1.297
24.699	45.184	1.728	3.866	1.252
24.801	54.629	1.819	4.407	1.659
24.900	56.718	2.205	3.337	1.480
24.999	58.775	2.238	4.249	2.056
25.100	58.041	2.724	4.879	1.482
25.200	49.987	2.418	8.003	1.932
25.300	50.353	2.670	6.903	2.229
25.400	46.301	3.449	3.990	2.011
25.500	66.722	3.299	4.791	1.713
25.600	59.968	3.044	3.619	0.877
25.700	62.681	3.452	4.603	1.214
25.800	53.158	3.480	4.590	1.093
25.900	56.516	3.170	4.639	1.446
26.001	55.621	3.213	4.733	1.824
26.100	65.381	2.727	3.440	1.839
26.199	58.921	2.362	3.462	1.549
26.300	52.186	2.454	4.223	1.504
26.400	51.450	2.109	4.115	1.492
26.500	63.411	1.976	4.391	2.279
26.600	63.946	2.351	4.244	1.689
26.700	58.429	1.872	4.832	1.364
26.800	56.088	1.879	4.527	0.769
26.900	58.685	1.904	4.484	0.993
27.000	58.360	2.317	3.579	0.871
27.101	56.683	2.289	4.582	0.733
27.199	63.857	2.857	4.486	1.125
27.300	59.081	2.801	3.691	0.490
27.400	59.838	3.170	3.302	0.890
27.500	61.957	3.372	3.432	0.829
27.599	59.179	3.404	4.339	0.923
27.700	63.542	3.038	3.886	1.342
27.800	66.057	3.140	4.440	1.564
27.900	56.117	2.992	4.967	1.323
28.000	57.065	2.898	4.647	1.832
28.100	53.351	2.653	3.754	1.570
28.200	60.721	3.157	4.396	1.232
28.300	69.213	2.616	3.664	2.059
28.400	59.942	2.033	4.021	2.298
28.500	62.344	1.846	3.472	2.576
28.600	52.428	1.832	3.113	1.695
28.700	56.008	1.786	3.174	2.014
28.799	51.395	1.900	2.959	1.534
28.900	55.960	2.674	3.785	1.417
29.000	61.839	2.791	4.386	1.312
29.100	56.023	2.523	3.140	1.698
29.200	55.739	3.102	4.397	2.001
29.300	57.448	3.164	4.513	1.511
29.399	57.899	3.190	3.839	0.896
29.500	58.828	3.703	4.798	0.891
29.600	62.877	3.577	4.667	1.171
29.700	54.512	3.589	3.077	1.309
29.799	58.429	3.098	4.380	1.467
29.900	54.143	3.189	4.847	1.514
30.000	58.258	2.867	4.200	1.985
30.100	64.383	2.505	3.480	1.328
30.201	55.882	2.247	4.278	1.482
30.300	53.099	2.156	4.199	1.692
30.400	56.266	2.044	4.885	2.287
30.500	53.754	1.809	4.715	1.903
30.600	54.507	2.009	4.983	1.662
30.700	50.470	2.286	4.474	1.900
30.800	58.888	2.341	3.583	1.085
30.900	68.191	2.684	4.156	1.725
31.000	58.420	2.506	3.868	1.371
31.100	57.230	2.543	4.131	1.735
31.200	61.985	3.442	6.591	1.622
31.300	69.862	2.926	9.734	1.347
31.401	51.444	3.074	3.240	0.761
31.500	60.111	3.705	4.020	1.476
31.600	59.651	3.327	3.452	1.327
31.700	54.478	3.196	3.767	1.810
31.800	58.432	3.392	3.404	1.745
